Make,Model,Year,Vendor,MPN,AD Item Number,NI# ,OEM#,REF#,O.D,I.D,HEIGHT,Vendor Notes
LYNX,59 YETI 600 ACE,2013,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2013,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2014,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2014,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2014,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2015,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2015,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2015,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2016,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2016,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
